1, 0.0785, 39
2, 0.0798, 65
3, 0.0833, 90
4, 0.0863, 116
5, 0.0883, 142
6, 0.0915, 168
7, 0.095, 194
8, 0.0973, 219
9, 0.0988, 245
10, 0.1014, 270
11, 0.1042, 296
12, 0.1071, 324
13, 0.1084, 357
14, 0.1103, 382
15, 0.1117, 410
16, 0.1136, 435
17, 0.115, 462
18, 0.1161, 488
19, 0.1173, 514
20, 0.1188, 539
21, 0.1194, 566
22, 0.1209, 591
23, 0.1221, 617
24, 0.1223, 643
25, 0.1231, 668
26, 0.1241, 694
27, 0.1254, 720
28, 0.1256, 745
29, 0.1265, 771
30, 0.127, 797
31, 0.1282, 823
32, 0.1284, 848
33, 0.1301, 874
34, 0.13, 900
35, 0.1314, 926
36, 0.1323, 952
37, 0.1339, 977
38, 0.1351, 1003
39, 0.1357, 1029
40, 0.1356, 1054
41, 0.1364, 1080
42, 0.1375, 1106
43, 0.1378, 1132
44, 0.1368, 1158
45, 0.1391, 1184
46, 0.1404, 1210
47, 0.1405, 1235
48, 0.1405, 1261
49, 0.1411, 1286
50, 0.1418, 1312
51, 0.1443, 1338
52, 0.1445, 1363
53, 0.1448, 1397
54, 0.1452, 1423
55, 0.1457, 1448
56, 0.1462, 1474
57, 0.147, 1499
58, 0.148, 1525
59, 0.1497, 1551
60, 0.1498, 1577
61, 0.1486, 1603
62, 0.1497, 1628
63, 0.1511, 1654
64, 0.1512, 1680
65, 0.1522, 1705
66, 0.1517, 1731
67, 0.1546, 1757
68, 0.1576, 1782
69, 0.1593, 1808
70, 0.1609, 1833
71, 0.1639, 1859
72, 0.166, 1884
73, 0.1674, 1909
74, 0.1687, 1935
75, 0.1705, 1961
76, 0.1731, 1986
77, 0.1746, 2012
78, 0.1761, 2038
79, 0.178, 2063
80, 0.1786, 2089
81, 0.1787, 2117
82, 0.1791, 2144
83, 0.1793, 2170
84, 0.1792, 2195
85, 0.1795, 2221
86, 0.1813, 2247
87, 0.1817, 2272
88, 0.1823, 2298
89, 0.1836, 2324
90, 0.1843, 2349
91, 0.187, 2375
92, 0.1877, 2409
93, 0.1886, 2435
94, 0.1896, 2460
95, 0.1905, 2486
96, 0.1904, 2511
97, 0.1913, 2537
98, 0.1924, 2562
99, 0.1951, 2588
100, 0.1965, 2614
101, 0.1969, 2640
102, 0.1979, 2665
